N Facture;Date Facture;Identifiant Fiscale;Nom Fournisseur; Montant HT ; Taux Tva ; Montant Tva ;Mode Reglement;N Reglement;Designation;Date Paiement;ICE;
REL 01/2018;31/12/2017;01084612;BP AL FATH; 500,00   ;10; 50,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;0101/2018;001534931000016;SB
REL 01/2018;31/12/2018;01084612;BP AL FATH; 790,36   ;10; 79,04   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;01/01/2018;001534931000016;SB
REL 01/2018;04/01/2018;01084612;BP AL FATH; 18,00   ;10; 1,80   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;05/01/2018;001534931000016;SB
REL 01/2018;09/01/2018;01084612;BP AL FATH; 54,00   ;10; 5,40   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;09/01/2018;001534931000016;SB
REL 01/2018;12/01/2018;01084612;BP AL FATH; 148,50   ;10; 14,85   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;12/01/2018;001534931000016;SB
REL 01/2018;25/01/2018;01084612;BP AL FATH; 45,45   ;10; 4,55   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;24/01/2018;001534931000016;SB
REL 01/2018;31/01/2018;01084612;BP AL FATH; 146,36   ;10; 14,64   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;31/01/2018;001534931000016;SB
REL 01/2018;31/01/2018;01084612;BP AL FATH; 2 700,00   ;10; 270,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;31/01/2018;001534931000016;SB
REL 01/2018;29/12/2017;1085221;AWB ANFA; 60,00   ;10; 6,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;02/01/2018;001648789000071;SB
REL 01/2018;02/01/2018;1085221;AWB ANFA; 35,00   ;10; 3,50   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;02/01/2018;001648789000071;SB
REL 01/2018;02/01/2018;1085221;AWB ANFA; 30,00   ;10; 3,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;02/01/2018;001648789000071;SB
REL 01/2018;31/12/2017;1085221;AWB ANFA; 30,00   ;10; 3,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;03/01/2018;001648789000071;SB
REL 01/2018;04/01/2018;1085221;AWB ANFA; 100,00   ;10; 10,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;04/01/2018;001648789000071;SB
REL 01/2018;04/01/2018;1085221;AWB ANFA; 35,00   ;10; 3,50   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;04/01/2018;001648789000071;SB
REL 01/2018;05/01/2018;1085221;AWB ANFA; 356,00   ;10; 35,60   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;05/01/2018;001648789000071;SB
REL 01/2018;08/01/2018;1085221;AWB ANFA; 100,00   ;10; 10,00   ;PRELEVEMENT;PRELEVEMENT;SERVICE BANCAIRE;08/01/2018;001648789000071;SB
